Álbum,Título da Música,Letra
Yours Truly,Honeymoon Avenue,"Shoo-doo-doo-dum-doo, da-da
Shoo-doo-doo-dum-doo, da-da
Sha-ba-da, sha-ba-da
(Da-da) Uh-uh
(Da-da) Ooh, yeah
(Da-da) Mmm, ah
(Da-da) It's the Rascals

I looked in my rearview mirror and
It seemed to make a lot more sense
Than what I see ahead of us, ahead of us, yeah
Uh, I'm ready to make that turn
Before we both crash and burn
'Cause that could be the death of us, the death of us

Baby, you know how to drive in rain
And you decided not to make a change
Stuck in the same old lane
Goin' the wrong way home

I feel like my heart is stuck in bumper-to-bumper traffic
I'm under pressure 'cause I can't have you the way that I want
Let's just go back to the way it was
When we were on Honeymoon Avenue
Honeymoon Avenue, baby
Coastin' like crazy
Can we get back to the way it was?

Hey, what happened to the butterflies?
Guess they encountered that stop sign
And my heart is at a yellow light, a yellow light
Hey, right when I think that we found it (Found it)
Well, that's when we start turnin' around (Turnin' around)
You're sayin', ""Baby, don't worry""
But we're still goin' the wrong way

Baby, you know how to drive in rain
And you decided not to make a change
Stuck in the same old lane
Goin' the wrong way home

I feel like my heart is stuck in bumper-to-bumper traffic
I'm under pressure 'cause I can't have you the way that I want
Let's just go back to the way it was
When we were on Honeymoon Avenue
Honeymoon Avenue, baby
Coastin' like crazy
Can we get back to the way it was?

They say only fools fall in love
Well, they must've been talkin' about us
And, sometimes, I feel like we've been here before
I could be wrong, but I know I'm right
We're gon' be lost if we continue to fight
Honey, I know, yeah
We can find our way home

I feel like my heart is stuck in bumper-to-bumper traffic
I'm under pressure 'cause I can't have you the way that I want
Let's just go back to the way it was
When we were on Honeymoon Avenue
Honeymoon Avenue, my baby
Coastin' like crazy
Can we get back to the way it was?
When we were on Honeymoon Avenue
Honeymoon Avenue, baby
Coastin' like crazy
Can we get back to the way it was?

Baby, you know how to drive in rain
And you decided not to make a change
Stuck in the same old lane
Goin' the wrong way home
I feel like my heart is stuck in—
Traffic, I'm under
Pressure, pressure—
Let's just go back to the way it was
When we were on
Honeymoon Avenue, Honeymoon Avenue
Honeymoon Avenue, Honeymoon Avenue
Avenue
Let's just go back, b-b-b-back, back, back"
Yours Truly,Baby I,"Baby, I got love for thee so deep inside of me
I don't know where to start (Yeah, yeah, yeah, yeah, yeah)
Yeah, yeah (Yeah, yeah, yeah, yeah, yeah, yeah, yeah)
I love you more than anything
But the words can't even touch what's in my heart (Yeah, yeah, yeah, yeah, yeah)
No, no (Yeah, yeah, yeah, yeah, yeah, yeah, yeah)

When I try to explain it, I be soundin' insane
The words don't ever come out right
I get all tongue-tied (And twisted)
I can't explain what (I'm feelin')
And I say, ""Baby, baby"" (Oh-woah-woah), ""Baby""

(Baby, I) Oh, baby, oh, baby, my baby
(Baby, I) Oh, baby, baby, I
(Baby, I) All I'm tryna say is you're my everything, baby
But every time I try to say it, words, they only complicate it
Baby, baby (Oh-woah-woah)

Baby, I'm so down for you
No matter what'cha do (Real talk), I'll be around (Yeah, yeah, yeah, yeah, yeah)
Yeah, yeah (Yeah, yeah, yeah, yeah, yeah, yeah, yeah)
Oh, baby
See, baby, I been feelin' you
Before I even knew what feelings were about (Yeah, yeah, yeah, yeah, yeah)
Oh, baby (Yeah, yeah, yeah, yeah, yeah, yeah, yeah)

When I try to explain it (Ooh), I be soundin' all crazy
Words don't ever come out right
I get all tongue-tied (And twisted)
I can't explain what (I'm feelin')
And I say, ""Baby, baby"" (Oh-woah-woah), ""Baby""

(Baby, I) Oh, baby, oh, baby, my baby
(Baby, I) Oh, baby, baby, I
(Baby, I) All I'm tryna say is you're my everything (Baby)
But every time I try to say it, words, they only complicate it
Baby, baby (Oh-woah, oh-woah)
(Baby, baby) Ooh-ayy

Straight up, you got me (Ah-ah) all in
(How) Could I not be?
I sure hope you know (I sure hope you know)
If it's even possible, I love you more
Than the word ""love"" can say (Say)
It's better not explaining
That's why I keep saying ""Baby, I""

(Baby, I) Oh, baby, oh, baby, my baby
(Baby, I) Oh, baby, baby, I
(Baby, I) All I'm tryna say is you're my everything, baby
But every time I try to say it, words, they only complicate it
Baby, baby (Oh-woah, oh-woah)
Baby (Baby, baby), baby, I (Baby, I)
Oh, baby (Ooh), oh, baby, my baby (Baby, I)
(Baby, I) Oh, baby, baby, I (Ah)
(Baby, I) All I'm tryna say is you're my everything, baby
But every time I try to say it, words, they only complicate it (Ooh)
Every time I try to say it, words, they only complicate it
Every time I try to say it, words, they only complicate it
Baby, baby (Oh-woah-woah)
Baby, baby"
Yours Truly,Right There,"Ooh-ooh, hey
(If you wanna party, if you, if you wanna party)
Put your hands up (Put your hands up), ooh, yeah
(If you, if you wanna party, if you, if you wanna party)
So put your hands up (Put your hands up), baby

You got it, you got it, babe (See ya)
You got it, you got it, babe (Got it, huh?)
You got it, you got it, babe (Sean Don)
You got it, you got it, babe

Okay, this, this, this one for my number one girl who got the top spot title
Spent a hour in the bathroom, walked out lookin' like a model
God, doin' what you do, got me right there with Apollo on the moon (Moon)
Who needs genies in a bottle, girl, if they already got you? (Got you, I got you)

Boy, you make me feel so lucky
Finally, the stars align
Never has it been so easy to be in love
And to give you this heart of mine

You know what I need (Ayy), I know what you like (Ayy)
Put it all together, baby, we could be alright (Hey)
How can this be wrong when it feels so right?
Yeah, I really love you, I really love you, oh
And I'll never let you go

You should know I'm never gonna change
I'm always gonna stay
You call for me, I'm right there (Right there)
Right there (Right there)
'Cause you listen and you care
You're so different, no one compares
And if you'll never change, I'm gonna stay right there
I'll always be right there

You got it, you got it, babe (If you wanna party, if you, if you wanna party)
You got it, you got it, babe, yeah (Put your hands up, put your hands up, hands up)

And I get butterflies just thinkin'
About you, boy, you're on my mind (Oh)
Sometimes, I catch myself daydreamin'
Lost in your eyes and I lose all track of time (Track of time)

You know what I need (Ayy), I know what you like (Ayy)
Put it all together, baby, we could be alright (Hey)
How can this be wrong (Oh), when it feels so right? (Oh)
Yeah, I really need you, I really love you, oh
And I'll never let you go

You should know I'm never gonna change
I'm always gonna stay
You call for me, I'm right there (Right there)
Right there (Right there)
'Cause you listen and you care
You're so different, no one compares
And if you'll never change, I'm gonna stay right there (What? Okay)
I'll always be right there (What?)

Now, if it all fell through, would you catch me before the pavement? (What?)
If my Benz turned back to public transportation (Swerve, swerve)
Would you still be at home for me with the candles waitin'? (What?)
And get my mind back adjacent to the place of a young visionary?
A player, too, you know I have some girls missionary (Ooh)
My black book of numbers thicker than the dictionary and Bible
I got it recycled, I love and I like you
Five-course meals, even though you don't mind a drive-thru
That's why I got you
And I'll never let you go (I got you)

You should know (Oh), I'm never gonna change (I'm never gonna change; Woah)
I'm always gonna stay (I'm always gonna stay; Oh)
You call for me, I'm right there (I'm right there)
Right there (Ooh)
'Cause you listen and you care
You're so different, no one compares
And if you'll never change (B-I-G Sean Don)
I'm gonna stay right there (Carry on)
I'll always be right there (Yeah)

(If you wanna party, if you, if you wanna party)
You got it (Oh; Put your hands up, put your hands up)
I'll always be right there (Oh)
(If you wanna party, if you, if you wanna party)
(Yeah; Put your hands up, put your hands up)
I'll always be right there
You got it, you got it, babe (If you wanna party, put your hands up;Gods)
You got it, you got it, babe (Put your hands up)
You got it, you got it, babe (If you wanna party, if you, if you wanna party)
You got it, you got it, babe (Put your hands up, put your hands up)
Got it, babe"
Yours Truly,Tattooed Heart,"You don't need a lot of money
Honey, you don't have to play no games
All I need is all your lovin'
To get the blood rushing through my veins, oh
I wanna say we're going steady, oh
Like it's 1954
No, it doesn't have to be forever
Just as long as I'm the name on your tattooed heart

(Tattooed heart, tattooed heart)
Oh (Tattooed heart, tattooed heart)
Ooh, oh (Tattooed heart, tattooed heart)
Woah-oh-oh-oh-ah, hey

You don't need to worry about making me crazy
'Cause I'm way past that, eh
And so just call me if you want me
'Cause you got me, and I'll show you
How much I want to be on your tattooed heart

(Tattooed heart, tattooed heart)
Oh (Tattooed heart, tattooed heart)
Oh, ah (Tattooed heart, tattooed heart)
Just as long as I'm the name on your tattooed heart

Wrap me in your jacket, my baby
And lay me in your bed
And kiss me underneath the moonlight
Darling, let me trace the lines on your tattooed heart

(Tattooed heart, tattooed heart)
Oh, oh (Tattooed heart, tattooed heart)
Oh, babe, ah (Tattooed heart, tattooed heart)
Just as long as I'm the name on your tattooed heart"
Yours Truly,Lovin’ It,"Ah-ooh
It's The Rascals!
Baby, don't you know you've got all my love, all my love?
Baby, don't you know you've got all my love, all my love?

Hold up, wait (Wait)
Before you go, just stay
And talk to me for a little
Baby, won't you loosen up just a little, ah?

See, what you don't understand
Is fallin' in love wasn't part of my plan (My plan)
Started with a crush, now I call you my man (My man)
Doubt that I'll ever fall in love, ever fall in love again (Again)
'Cause you give me chills every time we chill
I spend all of my days doin', doin'

Nothin' but lovin' you, nothin' but lovin' you, baby
Boy, you got all my time
I'm lovin' your lovin', I'm lovin', I'm lovin' it, baby
Boy, you got all my, all my
Love and affection, all my attention
You don't gotta question if I'm really
Lovin' your lovin', I'm lovin', I'm lovin' it, baby
Boy, you got all my, all my

Hold up, wait
Shut up and kiss me, babe
I just wanna get a little taste
I just wanna get a little taste before you go

See, what you don't understand
Is fallin' in love wasn't part of my plan (My plan)
Started with a crush, now I call you my man (My man)
Doubt that I'll ever fall in love, ever fall in love again
'Cause you give me chills every time we chill
I spend all of my days doin', doin'

Nothin' but lovin' you, nothin' but lovin' you, baby
Boy, you got all my time
I'm lovin' your lovin', I'm lovin', I'm lovin' it, baby
Boy, you got all my, all my
Love and affection, all my attention
You don't gotta question if I'm really
Lovin' your lovin', I'm lovin', I'm lovin' it, baby
Boy, you got all my, all my

Time and my trust
Don't mess this up
You got me fallin' in love
You got me fallin' in love
You got me fallin' so hard
Boy, you change the way I breathe
When you put your lips on me
I adore you
So let me make it clear to you
That boy, you're all I need
My baby

Nothin' but lovin' you, nothin' but lovin' you, baby
Boy, you got all my time (Baby)
I'm lovin' your lovin', I'm lovin', I'm lovin' it, baby
Boy, you got all my, all my
Love and affection, all my attention
You don't gotta question if I'm really  (Ooh, baby)
Lovin' your lovin', I'm lovin', I'm lovin' it, baby (Say)

Baby, don't you know you've got all my love, all my love?
Baby, don't you know you've got all my love, all my love?"
Yours Truly,Piano,"Oh-woah
Oh-woah
There we go

I could write a song with my new piano
I could sing about how love is a losing battle
Not hard (It's not hard)
It's not hard (It's not hard)
It's not hard (It's not hard)
It's not hard (It's not hard)
And I could sing about Cupid and his shooting arrow
In the end, you'd find out that my heart was battered
Real hard (Real hard)
It's so hard (It's so hard)
Real hard (Real hard)
It's that hard (It's that hard)

But I'd rather make a song they can play on the radio
That makes you wanna dance
Don't it make you wanna dance?
But I'd rather make a song they can play on the radio
That makes you wanna grab your lover's hand

So hold up and take it through the night
And you should follow through to make it alright
Now grab each others' hands, get 'em up
I wanna see you rock to the piano, the piano

I could write a song by my new piano
I could sing about how love is a losing battle
Not hard (It's not hard)
It's not hard (It's not hard)
It's not hard (It's not hard)
It's not hard (It's not hard)
And I could sing about Cupid and his shooting arrow
In the end, you'll find out that my heart was battered
Real hard (It's not hard)
It's so hard (So hard)
Real hard (It's that hard)
It's that hard (It's that hard)

But I'd rather make a song they can play on the radio
That makes you wanna dance
Don't it make you wanna dance?
But I'd rather make a song they can play on the radio
That makes you wanna grab your lover's hand

So hold up and take it through the night
And you should follow through to make it alright
Now grab each others' hands, get 'em up
I wanna see you rock to the piano, the piano
So hold up and take it through the night
And you should follow through to make it alright
Now grab each others' hands, get 'em up
I wanna see you rock to the piano, the piano

I'd rather tell you about how I'm feelin', boy
And how I'm doin' things my way
If I got my piano, then I know I'll be okay, baby

So hold up and take it through the night
And you should follow through to make it alright
Now grab each others' hands, get 'em up (Oh, baby)
I wanna see you rock to the piano, the piano (Oh, baby)
So hold up and take it through the night (Oh-woah)
And you should follow through to make it alright (Oh-woah)
Now grab each others' hands, get 'em up (Oh-woah)
I wanna see you rock to the piano (Oh, baby), the piano
So hold up and take it through the night (Oh-woah)
(Oh) And you should follow through to make it alright (Oh-woah)
Now grab each others' hands, get 'em up (Oh-woah)
I wanna see you rock to the piano, the piano

I could write a song by my new piano
I could sing about how love is a losing battle
It's not hard (It's not hard)
It's not hard (It's not hard)
It's not hard (It's not hard)
It's not hard"
Yours Truly,Daydreamin’,"You walked in
Caught my attention
I've never seen
A man with so much dimension

It's the way you walk, the way you talk
The way you make me feel inside
It's in your smile, it's in your eyes
I don't wanna wait for tonight

So I'm daydreamin'
With my chin in the palm of my hands
About you, you
And only you
Got me daydreamin'
With my chin in the palm of my hands
About you, you
And only you

Fo—For you (Oh, oh, oh)
For you (Oh, oh, oh)
For you (Oh, oh, oh)
For you (Oh, oh)

Now I can't wait
To hold you in my arms
I know I was made for you
I'm in love with all your charm

It's the way you walk, the way you talk
The way you make me feel inside
It's in your smile, it's in your eyes
I don't wanna wait for tonight

So I'm daydreamin'
With my chin in the palm of my hands
About you, you
And only you
Got me daydreamin'
With my chin in the palm of my hands
About you, you
And only you

Oh, I want ya
Got to have ya
And I need you
Like I've never had lovin' before
Oh, I want ya
Ooh, I need you
Got to have ya
Like I've never had lovin' before

So I'm daydreamin'
With my chin in the palm of my hands
About you, you
And only you
Got me daydreamin'
With my chin in the palm of my hands
About you, you
And only you

Fo—For you (Oh, oh, oh)
For you (Oh, oh, oh)
For you (Oh, oh, oh)
For you (Oh, oh)

He was a man's man and a ladies man
Eighteen, nineteen, I began to become more serious about things in life
Oh, I think when I was standing on that stoop and I looked at him, yeah, I was eleven years old"
Yours Truly,The Way,"What we gotta do right here is go back (Uh-uh)
Back into time (Babe)
I love the way you make me feel (Okay)
I love it, I love it (Yeah)
I love the way you make me feel
I love it (Yeah), I love it (Yeah)

Say
I'm thinkin' 'bout her every second, every hour
Do my singin' in the shower, pickin' petals off of flowers like (Like)
Do she love me, do she love me not? (Love me not)
I ain't a player, I just— (Player, I just—)

You give me that kinda somethin'
Want it all the time, need it every day
On a scale of one to ten, I'm at a hundred
Never get enough, I can't stay away
If you want what I got, I got it every day
You can get whatever you need from me
Stay by your side, I'll never leave ya
And I ain't goin' nowhere 'cause you're a keeper

So don't you worry
Baby, you got me (Ayy)
I, I got a bad boy, I must admit it (Hey)
You got my heart, don't know how you did it (Hey)
And I don't care who sees it, babe, I don't wanna hide the way
I feel when you're next to me (Hey)

I love the way (You make me feel)
I love the way (I love it, I love it; I love)
Baby, I love the way (You make me feel)
Ooh, I love the way, the way I love you (I love it, I love it)

Ooh, it's so crazy, you get my heart jumpin'
When you put your lips on mine
And, honey, it ain't a question (Qu-qu-question)
'Cause, boy, I know just what you like
So if you need it, I got it, I got it every day
Be your lover, your friend, you'll find it all in me
Stay by your side, I'll never leave ya
Said I ain't goin' nowhere 'cause you're a keeper

So don't you worry
Baby, you got me
I, I got a bad boy, I must admit it (Hey)
You got my heart, don't know how you did it (Hey)
And I don't care who sees it, babe, I don't wanna hide the way
I feel when you're next to me (Hey)

I love the way (You make me feel)
I love the way (I love it, I love it; I love)
Baby, I love the way (You make me feel)
Ooh, I love the way, the way I love you (I love it, I love it; Uh-uh)

I make you feel so fine, make you feel so fine
I hope you hit me on my celly when I sneak in your mind
You a princess to the public, but a freak when it's time
Said your bed be feelin' lonely, so you sleepin' in mine
Come and watch a movie with me, American Beauty (Hey)
Or Bruce Almighty, that's groovy, just come and move closer to me (Hey, ey)
I got some feelings for ya I'm not gonna get bored of (No, babe)
But, baby, you an adventure so let me come and explore ya

So don't you worry (Yeah)
Baby, you got me (Woo)
I, I got a bad boy, I must admit it (Uh-huh; Hey)
You got my heart, don't know how you did it (Hey)
And I don't care who sees it, babe, I don't wanna hide the way
I feel when you're next to me (Hey)

I love the way, I love the way (You make me feel)
I love the way, I love the way (I love it, I love it; I love)
Baby, I love the way, I love the way (You make me feel)
Ooh, I love the way (I love it, I love it)
I love the way (You make me feel)
I love the way (I love it, I love it)
Baby, I love the way (You make me feel)
Ooh, I love the way, the way I love you (I love it, I love it)

The way I love you
You, you, yeah, the way
I love the way you make me feel
I love it, I love it
I love the way you make me feel
I love it
The way I love you"
Yours Truly,You’ll Never Know,"Now you finally tell me how you feel
Guess your words just came a little too late
All the drama, boy, it's overkill
Don't be mad at me 'cause you've been replaced
Know your place

But if you woulda manned up
Put your hand up, stand up
Tell me how you really felt
Then maybe it'd be different
If you spoke, I woulda listened
But now, I'm with somebody else
And he loves me too much for me to mess this up
Bet it sucks to be all in your head
Wondering where this thing could go, but

You will never know (Oh-oh)
What we could have been
If you would've shown (Oh-oh)
Me way back then
Boy, you coulda (Yup, yup)
Boy, you shoulda (Yup, yup)
But you didn't, no, so
Now you'll never know, you'll never know

Know it's probably hard for you to hear
But there's nothing left for you to say
Had my heart all in your hands, boy, what you don't understand
Is a girl like me don't have no time to waste around

But if you woulda manned up
Put your hand up, stand up
Tell me how you really felt
Then maybe it'd be different
If you spoke, I would've listened
But now, I'm with somebody else
And he loves me too much for me to mess this up
Bet it sucks to be all in your head
Wondering where this thing could go, but

You will never know (Oh-oh)
What we could have been
If you would've shown (If you would've shown; Oh-oh)
Me way back then
Boy, you coulda (Yup, yup)
Boy, you shoulda (Yup, yup)
But you didn't know, so
Now you'll never know, you'll never know

You'll never know
Boy, you should've told me, told me
You'll never know
Boy, you should've let me know
You'll never know
Boy, you could've been there for me
But now, you'll never know, you'll never know

It's not my fault
You're a little bit too late
You're the only one to blame
Wipe that look off your face
You can wish a thousand times
But none of that will change my mind, boy
You had a chance, you'll never get back, get back, uh-uh

You will never know
What we could have been
If you would've shown (If you would've shown, babe)
Me way back then (Way back then, baby)
Boy, you coulda (Yup, yup)
Boy, you shoulda (Yup, yup)
But you didn't know, so
Now you'll never know (Oh, baby)

You'll never know
Boy, you could've told me, told me
You'll never know
Boy, you could've let me know
You'll never know
Boy, you could've been there for me
But now you'll never know, you'll never know
You'll never know (No, no, no, you will never know, my baby)
You'll never know (Know, yeah)
You'll never know (You will never know, ooh)"
Yours Truly,Almost Is Never Enough,"I'd like to say we gave it a try
I'd like to blame it all on life
Maybe we just weren't right
But that's a lie, that's a lie

And we can deny it as much as we want
But in time, our feelings will show
'Cause sooner or later, we'll wonder why we gave up
The truth is everyone knows, oh

Almost, almost is never enough
So close to being in love
If I would have known that you wanted me the way I wanted you
Then maybe we wouldn't be two worlds apart (Ah)
But right here in each other's arms
And we almost, we almost knew what love was
But almost is never enough (Ah)

If I could change the world overnight (Ah)
There'd be no such thing as goodbye (Ah)
You'd be standing right where you were (Ah)
And we'd get the chance we deserve, oh (Ah)

Try to deny it as much as you want
But in time, our feelings will show (Ah)
'Cause sooner or later, we'll wonder why we gave up
The truth is everyone knows (Ah)

Almost, almost is never enough
So close to being in love
If I would have known that you wanted me the way I wanted you, woah
Then maybe we wouldn't be two worlds apart
But right here (Right here) in each other's arms
And we almost, we almost knew what love was
But almost is never enough

Huh (Woah; Huh, baby), huh, baby (Mm)
You know (You know)
You know, baby (Huh, baby; Huh)
Almost (Baby, baby, baby) is never enough, baby
You know (Hm-hm), ooh-yeah

And we can deny it as much as we want
But in time, our feelings will show
'Cause sooner or later, we'll wonder why we gave up
The truth is (Truth is) everyone knows (Oh)

Almost (Almost), almost is never enough (Is never enough, baby)
(We were close) So close to being in love (So close)
If I would have known that you wanted me (That you wanted me)
The way I wanted you, babe
Then maybe we wouldn't be two worlds apart
But right here in each other's arms
And we almost, we almost knew what love was (Baby)
But almost is never enough

Huh, huh, baby (Almost)
You know (Hey), you know, baby (Oh)
Almost (Never)
Is never enough, baby (Never)
You know (Ooh), hey"
